模型,平均MAE,平均MSE,平均R²
线性回归,2.9337772519872147,20.84870534073632,0.8891035074327631
随机森林,3.1087644690345986,28.085309072410816,0.8751658839898718
梯度提升,3.0653762801991524,27.78543881080161,0.8682564698395124
SVR,7.167583927332405,113.98968823017081,0.39936167332388206
XGBoost,3.5931338050929167,33.61742364177937,0.8381188992828343
ARIMA,22.587057627614616,811.5999167085645,-3.9419462463165322
ExpSmoothing,31.72673001193695,1647.8013356808044,-7.510423321091522
Prophet,9.34845272763721,176.83382614708137,0.1507090713926179
