时间,预测值,下限,上限
2026-03-30 11:00:00,37.770189791477684,32.770189791477684,42.770189791477684
2026-03-30 12:00:00,32.26905352526066,27.26905352526066,37.26905352526066
2026-03-30 13:00:00,31.180456427845634,26.180456427845634,36.180456427845634
2026-03-30 14:00:00,29.319962467641567,24.319962467641567,34.31996246764157
2026-03-30 15:00:00,35.08053516238233,30.080535162382333,40.08053516238233
2026-03-30 16:00:00,44.57848326280255,39.57848326280255,49.57848326280255
2026-03-30 17:00:00,49.59281092508264,44.59281092508264,54.59281092508264
2026-03-30 18:00:00,54.73731033541563,49.73731033541563,59.73731033541563
2026-03-30 19:00:00,58.58651371479835,53.58651371479835,63.58651371479835
2026-03-30 20:00:00,59.31819987257359,54.31819987257359,64.31819987257359
2026-03-30 21:00:00,57.39161566228633,52.39161566228633,62.39161566228633
2026-03-30 22:00:00,55.39381587303885,50.39381587303885,60.39381587303885
2026-03-30 23:00:00,55.24655499288356,50.24655499288356,60.24655499288356
2026-03-31 00:00:00,57.21292241300269,52.21292241300269,62.21292241300269
2026-03-31 01:00:00,59.93876839571693,54.93876839571693,64.93876839571692
2026-03-31 02:00:00,62.162442437271594,57.162442437271594,67.1624424372716
2026-03-31 03:00:00,64.6248567673623,59.6248567673623,69.6248567673623
2026-03-31 04:00:00,67.11629043509325,62.11629043509325,72.11629043509325
2026-03-31 05:00:00,67.77804674551184,62.778046745511844,72.77804674551184
2026-03-31 06:00:00,68.58389624995995,63.58389624995995,73.58389624995995
2026-03-31 07:00:00,65.49434020941736,60.49434020941736,70.49434020941736
2026-03-31 08:00:00,57.723628726642076,52.723628726642076,62.723628726642076
2026-03-31 09:00:00,49.76656314516839,44.76656314516839,54.76656314516839
2026-03-31 10:00:00,42.2681320693183,37.2681320693183,47.2681320693183
2026-03-31 11:00:00,37.070468453817526,32.070468453817526,42.070468453817526
2026-03-31 12:00:00,33.80096044080071,28.800960440800708,38.80096044080071
2026-03-31 13:00:00,31.88215302923328,26.88215302923328,36.88215302923328
