时间,预测值,下限,上限
2026-03-30 11:00:00,34.227431237921316,29.227431237921316,39.227431237921316
2026-03-30 12:00:00,34.94130063144595,29.941300631445948,39.94130063144595
2026-03-30 13:00:00,37.750409445534224,32.750409445534224,42.750409445534224
2026-03-30 14:00:00,37.50988567968173,32.50988567968173,42.50988567968173
2026-03-30 15:00:00,49.01384156364682,44.01384156364682,54.01384156364682
2026-03-30 16:00:00,51.0552135542613,46.0552135542613,56.0552135542613
2026-03-30 17:00:00,54.10194365930256,49.10194365930256,59.10194365930256
2026-03-30 18:00:00,59.922494353813754,54.922494353813754,64.92249435381376
2026-03-30 19:00:00,59.6388441686724,54.6388441686724,64.63884416867239
2026-03-30 20:00:00,58.563690937836284,53.563690937836284,63.563690937836284
2026-03-30 21:00:00,58.00178929852825,53.00178929852825,63.00178929852825
2026-03-30 22:00:00,55.807819342396364,50.807819342396364,60.807819342396364
2026-03-30 23:00:00,59.40444395729851,54.40444395729851,64.40444395729851
2026-03-31 00:00:00,60.864708213818666,55.864708213818666,65.86470821381866
2026-03-31 01:00:00,63.43101074776084,58.43101074776084,68.43101074776084
2026-03-31 02:00:00,67.210559782894,62.210559782893995,72.210559782894
2026-03-31 03:00:00,68.32471297993223,63.32471297993223,73.32471297993223
2026-03-31 04:00:00,66.77875108784806,61.778751087848065,71.77875108784806
2026-03-31 05:00:00,68.78394987201396,63.78394987201396,73.78394987201396
2026-03-31 06:00:00,60.88966898476106,55.88966898476106,65.88966898476106
2026-03-31 07:00:00,55.269659632842625,50.269659632842625,60.269659632842625
2026-03-31 08:00:00,49.59505159335149,44.59505159335149,54.59505159335149
2026-03-31 09:00:00,42.82232591454183,37.82232591454183,47.82232591454183
2026-03-31 10:00:00,39.481148807787335,34.481148807787335,44.481148807787335
2026-03-31 11:00:00,39.147401326139,34.147401326139,44.147401326139
2026-03-31 12:00:00,37.24614181633772,32.24614181633772,42.24614181633772
2026-03-31 13:00:00,41.59748998435905,36.59748998435905,46.59748998435905
2026-03-31 14:00:00,44.57511267261071,39.57511267261071,49.57511267261071
2026-03-31 15:00:00,46.65122434278549,41.65122434278549,51.65122434278549
2026-03-31 16:00:00,50.49655046887671,45.49655046887671,55.49655046887671
2026-03-31 17:00:00,52.31521725657238,47.31521725657238,57.31521725657238
2026-03-31 18:00:00,53.18586717649842,48.18586717649842,58.18586717649842
2026-03-31 19:00:00,54.58088061718708,49.58088061718708,59.58088061718708
2026-03-31 20:00:00,53.40662483630653,48.40662483630653,58.40662483630653
2026-03-31 21:00:00,54.8875220267694,49.8875220267694,59.8875220267694
