时间,预测值,下限,上限
2026-03-30 11:00:00,40.0,38.0,40.0
2026-03-30 12:00:00,40.0,38.0,40.0
2026-03-30 13:00:00,40.0,38.0,40.0
2026-03-30 14:00:00,40.0,38.0,40.0
2026-03-30 15:00:00,40.0,38.0,40.0
2026-03-30 16:00:00,40.0,38.0,40.0
2026-03-30 17:00:00,39.61018905198876,37.61018905198876,40.0
2026-03-30 18:00:00,37.471262845079515,35.471262845079515,39.471262845079515
2026-03-30 19:00:00,36.30559494058769,34.30559494058769,38.30559494058769
2026-03-30 20:00:00,36.649297928788805,34.649297928788805,38.649297928788805
2026-03-30 21:00:00,37.02576304196754,35.02576304196754,39.02576304196754
2026-03-30 22:00:00,36.11191163589315,34.11191163589315,38.11191163589315
2026-03-30 23:00:00,35.26701553963532,33.26701553963532,37.26701553963532
2026-03-31 00:00:00,35.162977693514854,33.162977693514854,37.162977693514854
2026-03-31 01:00:00,34.20472680806371,32.20472680806371,36.20472680806371
2026-03-31 02:00:00,33.34749914602467,31.347499146024667,35.34749914602467
2026-03-31 03:00:00,32.719218398987586,30.719218398987586,34.719218398987586
2026-03-31 04:00:00,32.5969588553119,30.596958855311897,34.5969588553119
2026-03-31 05:00:00,33.16867327333138,31.16867327333138,35.16867327333138
2026-03-31 06:00:00,34.20369810717881,32.20369810717881,36.20369810717881
2026-03-31 07:00:00,36.25031365139751,34.25031365139751,38.25031365139751
2026-03-31 08:00:00,38.97190685961928,36.97190685961928,40.0
2026-03-31 09:00:00,40.0,38.0,40.0
2026-03-31 10:00:00,40.0,38.0,40.0
2026-03-31 11:00:00,40.0,38.0,40.0
2026-03-31 12:00:00,40.0,38.0,40.0
2026-03-31 13:00:00,40.0,38.0,40.0
2026-03-31 14:00:00,40.0,38.0,40.0
2026-03-31 15:00:00,40.0,38.0,40.0
2026-03-31 16:00:00,40.0,38.0,40.0
2026-03-31 17:00:00,39.71833842003391,37.71833842003391,40.0
2026-03-31 18:00:00,38.860642813094934,36.860642813094934,40.0
2026-03-31 19:00:00,38.37182991476593,36.37182991476593,40.0
2026-03-31 20:00:00,38.113157502445205,36.113157502445205,40.0
