时间,预测值,下限,上限
2026-03-30 11:00:00,35.332508436378006,30.332508436378006,40.332508436378006
2026-03-30 12:00:00,31.833004887414848,26.833004887414848,36.833004887414845
2026-03-30 13:00:00,32.22905648811866,27.22905648811866,37.22905648811866
2026-03-30 14:00:00,33.15762572923273,28.157625729232727,38.15762572923273
2026-03-30 15:00:00,40.488287085825164,35.488287085825164,45.488287085825164
2026-03-30 16:00:00,50.25385458035821,45.25385458035821,55.25385458035821
2026-03-30 17:00:00,53.87941313122426,48.87941313122426,58.87941313122426
2026-03-30 18:00:00,57.77927839850695,52.77927839850695,62.77927839850695
2026-03-30 19:00:00,60.62736884942707,55.62736884942707,65.62736884942707
2026-03-30 20:00:00,58.698042809146195,53.698042809146195,63.698042809146195
2026-03-30 21:00:00,57.33662158911201,52.33662158911201,62.33662158911201
2026-03-30 22:00:00,56.40285890597802,51.40285890597802,61.40285890597802
2026-03-30 23:00:00,56.010188656951534,51.010188656951534,61.010188656951534
2026-03-31 00:00:00,57.72136342961797,52.72136342961797,62.72136342961797
2026-03-31 01:00:00,60.82342952284552,55.82342952284552,65.82342952284552
2026-03-31 02:00:00,64.15510705631536,59.15510705631536,69.15510705631536
2026-03-31 03:00:00,67.36217782448021,62.36217782448021,72.36217782448021
2026-03-31 04:00:00,68.47616066359538,63.47616066359538,73.47616066359538
2026-03-31 05:00:00,68.82200169122642,63.82200169122642,73.82200169122642
2026-03-31 06:00:00,68.78929001466778,63.789290014667785,73.78929001466778
2026-03-31 07:00:00,62.876620690276624,57.876620690276624,67.87662069027662
2026-03-31 08:00:00,53.25873560681855,48.25873560681855,58.25873560681855
2026-03-31 09:00:00,45.558787482436806,40.558787482436806,50.558787482436806
2026-03-31 10:00:00,39.66124761885439,34.66124761885439,44.66124761885439
2026-03-31 11:00:00,35.8263347739856,30.8263347739856,40.8263347739856
2026-03-31 12:00:00,34.44035755063604,29.440357550636037,39.44035755063604
2026-03-31 13:00:00,34.84053410378041,29.840534103780413,39.84053410378041
2026-03-31 14:00:00,38.69581452863206,33.69581452863206,43.69581452863206
2026-03-31 15:00:00,44.03485894014344,39.03485894014344,49.03485894014344
2026-03-31 16:00:00,48.146562778263394,43.146562778263394,53.146562778263394
2026-03-31 17:00:00,52.18569285030655,47.18569285030655,57.18569285030655
2026-03-31 18:00:00,54.72357840908451,49.72357840908451,59.72357840908451
2026-03-31 19:00:00,55.03092000576066,50.03092000576066,60.03092000576066
2026-03-31 20:00:00,54.930203699957765,49.930203699957765,59.930203699957765
2026-03-31 21:00:00,54.472083257909524,49.472083257909524,59.472083257909524
2026-03-31 22:00:00,53.866872518560896,48.866872518560896,58.866872518560896
2026-03-31 23:00:00,54.67015571858766,49.67015571858766,59.67015571858766
2026-04-01 00:00:00,56.99980070617437,51.99980070617437,61.99980070617437
2026-04-01 01:00:00,60.06506855930027,55.06506855930027,65.06506855930027
2026-04-01 02:00:00,62.77097679690108,57.77097679690108,67.77097679690108
2026-04-01 03:00:00,64.09590592718615,59.09590592718615,69.09590592718615
2026-04-01 04:00:00,64.78393683215712,59.783936832157124,69.78393683215712
2026-04-01 05:00:00,64.47737296042092,59.47737296042092,69.47737296042092
2026-04-01 06:00:00,61.23276212128148,56.23276212128148,66.23276212128148
2026-04-01 07:00:00,55.596596411317954,50.596596411317954,60.596596411317954
2026-04-01 08:00:00,49.619489429612514,44.619489429612514,54.619489429612514
2026-04-01 09:00:00,44.19188821113178,39.19188821113178,49.19188821113178
2026-04-01 10:00:00,40.14064268948688,35.14064268948688,45.14064268948688
2026-04-01 11:00:00,37.86439740747166,32.86439740747166,42.86439740747166
2026-04-01 12:00:00,37.38705921337081,32.38705921337081,42.38705921337081
2026-04-01 13:00:00,39.08220052238605,34.08220052238605,44.08220052238605
2026-04-01 14:00:00,42.09392993406347,37.09392993406347,47.09392993406347
2026-04-01 15:00:00,45.4133702738339,40.4133702738339,50.4133702738339
2026-04-01 16:00:00,48.67344640279709,43.67344640279709,53.67344640279709
2026-04-01 17:00:00,50.97843160411863,45.97843160411863,55.97843160411863
2026-04-01 18:00:00,52.13317444167809,47.13317444167809,57.13317444167809
2026-04-01 19:00:00,52.78966591458704,47.78966591458704,57.78966591458704
2026-04-01 20:00:00,52.92533484798604,47.92533484798604,57.92533484798604
2026-04-01 21:00:00,52.76737563040321,47.76737563040321,57.76737563040321
2026-04-01 22:00:00,53.23458603973226,48.23458603973226,58.23458603973226
2026-04-01 23:00:00,54.74375240337716,49.74375240337716,59.74375240337716
2026-04-02 00:00:00,57.04661788546415,52.04661788546415,62.04661788546415
2026-04-02 01:00:00,59.32413091795693,54.32413091795693,64.32413091795692
2026-04-02 02:00:00,60.896760723291074,55.896760723291074,65.89676072329107
2026-04-02 03:00:00,61.80315845351245,56.80315845351245,66.80315845351245
2026-04-02 04:00:00,61.726960382476875,56.726960382476875,66.72696038247688
2026-04-02 05:00:00,59.914901252139785,54.914901252139785,64.91490125213979
2026-04-02 06:00:00,56.48332103299205,51.48332103299205,61.48332103299205
2026-04-02 07:00:00,52.18832041067082,47.18832041067082,57.18832041067082
2026-04-02 08:00:00,47.76158130849875,42.76158130849875,52.76158130849875
2026-04-02 09:00:00,44.00290598888725,39.00290598888725,49.00290598888725
2026-04-02 10:00:00,41.41041895597026,36.41041895597026,46.41041895597026
2026-04-02 11:00:00,40.21447396253425,35.21447396253425,45.21447396253425
2026-04-02 12:00:00,40.540480711093224,35.540480711093224,45.540480711093224
2026-04-02 13:00:00,42.08219039461082,37.08219039461082,47.08219039461082
2026-04-02 14:00:00,44.3411616564442,39.3411616564442,49.3411616564442
2026-04-02 15:00:00,46.774614680300104,41.774614680300104,51.774614680300104
2026-04-02 16:00:00,48.75019176643468,43.75019176643468,53.75019176643468
2026-04-02 17:00:00,50.10918760703059,45.10918760703059,55.10918760703059
2026-04-02 18:00:00,51.05277419447694,46.05277419447694,56.05277419447694
2026-04-02 19:00:00,51.57711513988768,46.57711513988768,56.57711513988768
2026-04-02 20:00:00,51.83254940000044,46.83254940000044,56.83254940000044
2026-04-02 21:00:00,52.29633183804254,47.29633183804254,57.29633183804254
2026-04-02 22:00:00,53.34760526729735,48.34760526729735,58.34760526729735
2026-04-02 23:00:00,54.99188369737388,49.99188369737388,59.99188369737388
2026-04-03 00:00:00,56.817884347493106,51.817884347493106,61.817884347493106
2026-04-03 01:00:00,58.365276206934176,53.365276206934176,63.365276206934176
2026-04-03 02:00:00,59.40539594407815,54.40539594407815,64.40539594407815
2026-04-03 03:00:00,59.64251043384248,54.64251043384248,64.64251043384249
2026-04-03 04:00:00,58.72505111488305,53.72505111488305,63.72505111488305
2026-04-03 05:00:00,56.63466084107683,51.63466084107683,61.63466084107683
2026-04-03 06:00:00,53.654828471791106,48.654828471791106,58.654828471791106
2026-04-03 07:00:00,50.26116440824432,45.26116440824432,55.26116440824432
2026-04-03 08:00:00,47.05816347180861,42.05816347180861,52.05816347180861
2026-04-03 09:00:00,44.524071832156636,39.524071832156636,49.524071832156636
2026-04-03 10:00:00,42.943527911322875,37.943527911322875,47.943527911322875
2026-04-03 11:00:00,42.454468505953564,37.454468505953564,47.454468505953564
2026-04-03 12:00:00,42.98886471444877,37.98886471444877,47.98886471444877
2026-04-03 13:00:00,44.296427642071144,39.296427642071144,49.296427642071144
2026-04-03 14:00:00,45.961708664598845,40.961708664598845,50.961708664598845
2026-04-03 15:00:00,47.53002097015275,42.53002097015275,52.53002097015275
2026-04-03 16:00:00,48.80409641462093,43.80409641462093,53.80409641462093
2026-04-03 17:00:00,49.78954597970491,44.78954597970491,54.78954597970491
2026-04-03 18:00:00,50.484067049052975,45.484067049052975,55.484067049052975
2026-04-03 19:00:00,50.97615331543791,45.97615331543791,55.97615331543791
2026-04-03 20:00:00,51.511896011666394,46.511896011666394,56.511896011666394
2026-04-03 21:00:00,52.34516578348543,47.34516578348543,57.34516578348543
2026-04-03 22:00:00,53.561231792653246,48.561231792653246,58.561231792653246
2026-04-03 23:00:00,54.997582274956144,49.997582274956144,59.997582274956144
2026-04-04 00:00:00,56.37343207779726,51.37343207779726,61.37343207779726
2026-04-04 01:00:00,57.43064490077127,52.43064490077127,62.43064490077127
2026-04-04 02:00:00,57.905501514201916,52.905501514201916,62.905501514201916
2026-04-04 03:00:00,57.57274335202107,52.57274335202107,62.57274335202107
2026-04-04 04:00:00,56.35979602878596,51.35979602878596,61.35979602878596
2026-04-04 05:00:00,54.36478000577332,49.36478000577332,59.36478000577332
2026-04-04 06:00:00,51.868620912235244,46.868620912235244,56.868620912235244
2026-04-04 07:00:00,49.28816605395538,44.28816605395538,54.28816605395538
2026-04-04 08:00:00,47.01692168440332,42.01692168440332,52.01692168440332
2026-04-04 09:00:00,45.33702834352931,40.33702834352931,50.33702834352931
