时间,预测值,下限,上限
2026-03-30 12:00:00,35.12318307580446,30.123183075804462,40.12318307580446
2026-03-30 13:00:00,28.954797080449296,23.954797080449296,33.954797080449296
2026-03-30 14:00:00,32.5347034891516,27.534703489151603,37.5347034891516
2026-03-30 15:00:00,33.74616413450322,28.746164134503218,38.74616413450322
2026-03-30 16:00:00,43.801224200777455,38.801224200777455,48.801224200777455
2026-03-30 17:00:00,46.01754605458103,41.01754605458103,51.01754605458103
2026-03-30 18:00:00,51.68516631452863,46.68516631452863,56.68516631452863
2026-03-30 19:00:00,56.80409527368498,51.80409527368498,61.80409527368498
2026-03-30 20:00:00,58.92532202151229,53.92532202151229,63.92532202151229
2026-03-30 21:00:00,55.48457210512081,50.48457210512081,60.48457210512081
2026-03-30 22:00:00,54.42619835968632,49.42619835968632,59.42619835968632
2026-03-30 23:00:00,55.39983167110976,50.39983167110976,60.39983167110976
2026-03-31 00:00:00,54.579080179879874,49.579080179879874,59.579080179879874
2026-03-31 01:00:00,56.7613797292652,51.7613797292652,61.7613797292652
2026-03-31 02:00:00,59.25770185596241,54.25770185596241,64.25770185596241
2026-03-31 03:00:00,61.4927896598315,56.4927896598315,66.4927896598315
2026-03-31 04:00:00,63.57221014522568,58.57221014522568,68.57221014522568
2026-03-31 05:00:00,65.86376482401303,60.86376482401303,70.86376482401303
2026-03-31 06:00:00,65.05822038992497,60.05822038992497,70.05822038992497
2026-03-31 07:00:00,65.06444873541403,60.06444873541403,70.06444873541403
2026-03-31 08:00:00,56.87994438072705,51.87994438072705,61.87994438072705
2026-03-31 09:00:00,50.792258337589516,45.792258337589516,55.792258337589516
2026-03-31 10:00:00,44.13401213784005,39.13401213784005,49.13401213784005
2026-03-31 11:00:00,38.99900623792173,33.99900623792173,43.99900623792173
2026-03-31 12:00:00,33.21712209699544,28.21712209699544,38.21712209699544
2026-03-31 13:00:00,33.27152669782431,28.271526697824306,38.27152669782431
2026-03-31 14:00:00,34.426431339877226,29.426431339877226,39.426431339877226
2026-03-31 15:00:00,37.445069230371075,32.445069230371075,42.445069230371075
2026-03-31 16:00:00,40.90318308853175,35.90318308853175,45.90318308853175
2026-03-31 17:00:00,45.092676902112956,40.092676902112956,50.092676902112956
2026-03-31 18:00:00,49.55498912981706,44.55498912981706,54.55498912981706
2026-03-31 19:00:00,52.33506535614681,47.33506535614681,57.33506535614681
2026-03-31 20:00:00,52.81450614658086,47.81450614658086,57.81450614658086
2026-03-31 21:00:00,52.192143831268524,47.192143831268524,57.192143831268524
2026-03-31 22:00:00,53.2026504823452,48.2026504823452,58.2026504823452
2026-03-31 23:00:00,51.9656078545072,46.9656078545072,56.9656078545072
2026-04-01 00:00:00,53.612594411222055,48.612594411222055,58.612594411222055
2026-04-01 01:00:00,55.085319810830924,50.085319810830924,60.085319810830924
2026-04-01 02:00:00,57.567457505949534,52.567457505949534,62.567457505949534
2026-04-01 03:00:00,58.664356659776935,53.664356659776935,63.664356659776935
2026-04-01 04:00:00,61.107701092260875,56.107701092260875,66.10770109226087
2026-04-01 05:00:00,61.16936160814374,56.16936160814374,66.16936160814373
2026-04-01 06:00:00,60.90479749169457,55.90479749169457,65.90479749169458
2026-04-01 07:00:00,57.38415426611536,52.38415426611536,62.38415426611536
2026-04-01 08:00:00,53.243946115412946,48.243946115412946,58.243946115412946
2026-04-01 09:00:00,48.26560402742619,43.26560402742619,53.26560402742619
